,epochs,mf_loss,reg_loss,loss,train_time,eval_time
0,0,0.2336,0.00192,0.23551,9.95,0.023363113403320312
1,1,0.01842,0.00442,0.02284,10.44,0.02303314208984375
2,2,0.00759,0.00538,0.01297,9.67,0.023632287979125977
3,3,0.00464,0.00592,0.01056,9.58,0.02340102195739746
4,4,0.00322,0.00627,0.00949,9.79,0.023180007934570312
5,5,0.0026,0.00649,0.00909,9.64,0.028869152069091797
6,6,0.00216,0.00663,0.00879,9.51,0.026983261108398438
7,7,0.00186,0.00672,0.00857,9.9,0.023134231567382812
8,8,0.00167,0.00675,0.00842,9.95,0.02551889419555664
9,9,0.00155,0.00676,0.00831,10.04,0.02782607078552246
