epochs,mf_loss,reg_loss,loss,recall,precision,train_time,eval_time
1,0.14523,0.00316,0.14839,0.1733,0.0683,30.35,0.28426694869995117
2,0.03596,0.00586,0.04182,0.1945,0.0771,30.68,0.4591231346130371
3,0.02779,0.0072,0.035,0.2095,0.0831,33.62,0.3047609329223633
4,0.02462,0.00822,0.03284,0.2205,0.0876,27.11,0.27088022232055664
5,0.0215,0.00907,0.03057,0.2328,0.0922,28.34,0.27164483070373535
6,0.01977,0.0098,0.02957,0.2479,0.0986,27.75,0.2700622081756592
7,0.01834,0.01043,0.02877,0.2557,0.1023,26.76,0.3320953845977783
8,0.01688,0.01102,0.0279,0.2622,0.1053,27.86,0.2769598960876465
9,0.0159,0.01153,0.02743,0.2702,0.1088,29.51,0.29033708572387695
10,0.01454,0.01197,0.02651,0.2776,0.1118,27.68,0.48875904083251953
11,0.01368,0.01234,0.02603,0.2861,0.1157,31.01,0.323897123336792
12,0.01324,0.01269,0.02593,0.2942,0.1181,29.45,0.2742609977722168
13,0.01246,0.01301,0.02548,0.2975,0.1197,27.61,0.4720640182495117
14,0.01182,0.01326,0.02508,0.3035,0.1216,29.71,0.29337239265441895
15,0.01154,0.01351,0.02505,0.3093,0.1237,33.07,0.49436473846435547
16,0.01133,0.01371,0.02503,0.3101,0.1242,33.89,0.3980398178100586
17,0.01036,0.01387,0.02423,0.3154,0.1265,35.52,0.3757200241088867
18,0.01078,0.01403,0.02481,0.3182,0.1282,32.71,0.3608262538909912
19,0.01006,0.01418,0.02424,0.3207,0.1298,36.48,0.38811802864074707
20,0.00963,0.01429,0.02392,0.3228,0.1308,34.22,0.3873019218444824
21,0.00936,0.01439,0.02375,0.3232,0.1306,36.55,0.40070199966430664
22,0.00938,0.01448,0.02386,0.3247,0.1314,36.41,0.39075183868408203
23,0.00892,0.01458,0.0235,0.3244,0.1318,35.5,0.36855077743530273
24,0.00922,0.01465,0.02386,0.3271,0.133,32.48,0.6280226707458496
25,0.00877,0.01472,0.0235,0.3291,0.1342,32.11,0.3544769287109375
26,0.00871,0.01478,0.02349,0.3282,0.1341,32.37,0.36965203285217285
27,0.00866,0.01481,0.02346,0.3295,0.1346,32.36,0.3475618362426758
28,0.00841,0.01483,0.02323,0.3337,0.136,32.12,0.3500630855560303
29,0.00857,0.01484,0.02341,0.3344,0.136,32.22,0.3435356616973877
30,0.00843,0.01486,0.02329,0.3351,0.1363,33.32,0.35858798027038574
31,0.00857,0.01492,0.02349,0.3378,0.1374,33.44,0.3669602870941162
32,0.00811,0.01496,0.02307,0.3384,0.1373,31.93,0.345566987991333
33,0.00804,0.01498,0.02302,0.342,0.139,31.88,0.3391389846801758
34,0.00817,0.01499,0.02316,0.3404,0.138,31.91,0.3563239574432373
35,0.00758,0.01499,0.02257,0.3413,0.1385,31.96,0.649014949798584
36,0.00831,0.015,0.02331,0.3414,0.1379,31.86,0.3691561222076416
37,0.00803,0.01499,0.02302,0.3423,0.1388,31.92,0.3361971378326416
38,0.00771,0.01499,0.0227,0.3437,0.139,31.82,0.34531521797180176
39,0.008,0.01501,0.02302,0.3437,0.1388,31.79,0.31410717964172363
40,0.00792,0.01502,0.02294,0.3479,0.1397,32.04,0.3399391174316406
41,0.00806,0.01504,0.0231,0.3463,0.1398,31.95,0.37055182456970215
42,0.00778,0.015,0.02278,0.3438,0.1395,31.91,0.36904001235961914
43,0.00792,0.015,0.02292,0.3455,0.1398,31.9,0.34021592140197754
44,0.00785,0.01501,0.02287,0.3423,0.1394,32.03,0.3449242115020752
45,0.0074,0.01502,0.02242,0.3441,0.1398,31.79,0.34731006622314453
46,0.00758,0.01497,0.02255,0.3453,0.1399,32.34,0.6439039707183838
47,0.00723,0.01495,0.02218,0.3462,0.1405,31.81,0.384645938873291
48,0.00775,0.01494,0.02268,0.3462,0.1405,31.91,0.386106014251709
49,0.00767,0.01494,0.02261,0.3493,0.1419,31.89,0.34014105796813965
50,0.00781,0.01492,0.02274,0.3492,0.1408,31.98,0.3453700542449951
51,0.00774,0.01494,0.02268,0.3522,0.1421,32.02,0.3298909664154053
52,0.00763,0.01495,0.02259,0.3503,0.1417,31.93,0.32799506187438965
53,0.00746,0.01495,0.02241,0.354,0.1433,32.0,0.32845282554626465
54,0.00764,0.01491,0.02255,0.3548,0.143,32.15,0.40894532203674316
55,0.00718,0.01491,0.02209,0.3529,0.1426,31.86,0.3590738773345947
56,0.00721,0.01488,0.02209,0.3546,0.1434,31.86,0.615056037902832
57,0.00745,0.01485,0.0223,0.3564,0.1438,31.92,0.33045482635498047
58,0.00734,0.01484,0.02218,0.3542,0.1429,32.11,0.3516108989715576
59,0.00754,0.01485,0.02239,0.3568,0.144,31.89,0.3354172706604004
60,0.00769,0.01487,0.02256,0.3551,0.1436,31.84,0.3170909881591797
61,0.00735,0.01487,0.02222,0.3549,0.1427,31.9,0.3517799377441406
62,0.00743,0.01486,0.0223,0.3521,0.1418,31.75,0.3268759250640869
63,0.00768,0.01485,0.02252,0.351,0.1418,31.72,0.3413667678833008
64,0.00711,0.01483,0.02194,0.3541,0.1427,31.98,0.3626699447631836
65,0.00739,0.01481,0.0222,0.3529,0.1426,31.82,0.33466601371765137
66,0.00761,0.01484,0.02245,0.3558,0.1441,32.06,0.37055110931396484
67,0.00743,0.01483,0.02226,0.3557,0.1441,32.4,0.6784896850585938
68,0.00726,0.01483,0.02209,0.3523,0.1424,31.76,0.3695831298828125
69,0.00742,0.01481,0.02223,0.3551,0.1436,31.89,0.3353610038757324
70,0.00753,0.01482,0.02235,0.3539,0.1428,31.76,0.362001895904541
71,0.00715,0.01481,0.02195,0.3565,0.1442,32.05,0.32283711433410645
72,0.00783,0.01481,0.02264,0.3575,0.1447,32.26,0.34670305252075195
73,0.00737,0.01484,0.02221,0.3564,0.1442,31.9,0.34322619438171387
74,0.00728,0.01483,0.02211,0.3571,0.1447,31.88,0.34622740745544434
75,0.00771,0.01484,0.02255,0.3567,0.1442,31.79,0.3428537845611572
76,0.00684,0.01482,0.02166,0.3549,0.1437,31.9,0.3359260559082031
77,0.00722,0.0148,0.02202,0.3531,0.143,31.9,0.6229350566864014
78,0.00706,0.01477,0.02183,0.3535,0.1431,31.88,0.3555178642272949
79,0.00712,0.01475,0.02188,0.3532,0.1431,31.92,0.34678101539611816
80,0.00731,0.01472,0.02203,0.3565,0.144,31.76,0.35375380516052246
81,0.00712,0.01473,0.02186,0.3576,0.1444,31.87,0.36919283866882324
82,0.00732,0.01473,0.02204,0.3582,0.1449,31.87,0.34763407707214355
83,0.00735,0.01474,0.0221,0.3575,0.1446,31.94,0.3492848873138428
84,0.00741,0.01474,0.02214,0.3577,0.1444,31.75,0.3203001022338867
85,0.00699,0.01473,0.02173,0.3601,0.1447,31.87,0.36280298233032227
86,0.00721,0.01472,0.02192,0.3583,0.1444,31.8,0.34856295585632324
87,0.00728,0.01471,0.02199,0.3616,0.1455,31.89,0.6351180076599121
88,0.00758,0.01474,0.02232,0.3601,0.1447,31.83,0.35212063789367676
89,0.00671,0.01474,0.02145,0.3567,0.1434,32.07,0.367689847946167
90,0.00725,0.0147,0.02195,0.3546,0.1433,31.73,0.3392050266265869
91,0.00719,0.01467,0.02186,0.3591,0.1445,31.85,0.33374881744384766
92,0.00733,0.01469,0.02202,0.3593,0.1449,31.82,0.33547186851501465
93,0.00726,0.0147,0.02196,0.3573,0.1441,31.76,0.32746195793151855
94,0.00693,0.01471,0.02164,0.3572,0.1446,31.74,0.33788108825683594
